pupilid,schoolid,district,bungoma,division,zone,tracking,sbm,girl,agetest,etpteacher,lowstream,stream_meanpercentile,SDstream_std_mark,MEANstream_std_mark,bottomhalf,tophalf,bottomquarter,secondquarter,thirdquarter,topquarter,std_mark,percentile,realpercentile,quantile5p,attrition,wordscore,sentscore,letterscore,spellscore,sentscore24,letterscore24,spellscore24,litscore,additions_score,substractions_score,multiplications_score,mathscoreraw,totalscore,rMEANstream_std_baselinemark,rSDstream_std_baselinemark,rMEANstream_std_total,rSDstream_std_total,rMEANstream_std_math,rSDstream_std_math,rMEANstream_std_lit,rSDstream_std_lit,r2_attrition,r2_age,r2_wordscore,r2_sentscore,r2_letterscore,r2_spellscore,r2_sentscore24,r2_letterscore24,r2_spellscore24,r2_litscore,r2_mathscoreraw,r2_additions_score,r2_substractions_score,r2_multiplications_score,r2_totalscore
4301003,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,8,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-2.145025,3.205132,4,1,0,0,6,0,0,3.6,0,0,0.9,1,1,0,2,2.9,-0.8325589,0.6573083,-0.3025334,0.7045032,-0.2525551,0.9759302,-0.2632195,0.4782079,0,8,0,7,0,0,4.2,0,0,1.05,2,1,1,0,3.05
4301004,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,14,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.879484,4.487181,5,1,0,0,1,1,0,0.6,0.3428572,0,0.2357143,0,0,0,0,0.2357143,-0.8299994,0.6662394,-0.2989489,0.683648,-0.2475676,0.9544912,-0.2611309,0.4721761,1,,,,,,,,,,,,,,
4301005,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,11,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.809605,5.769229,6,2,0,0,0,10,0,0,3.428571,0,0.8571429,4,5,0,9,9.857142,-0.8294732,0.6681328,-0.3166601,0.7207186,-0.2853492,0.9775965,-0.2630812,0.4778762,1,,,,,,,,,,,,,,
4301007,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.194667,8.333338,9,2,0,0,0,7,0,0,2.4,0,0.6,2,4,0,6,6.6,-0.8273565,0.6773306,-0.3091892,0.719361,-0.2682967,0.9892141,-0.2622618,0.4757217,0,10,0,0,7,0,0,2.4,0,0.6,8,2,6,0,8.6
4301009,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.362377,10.89743,11,3,0,0,0,14,0,0,4.8,0,1.2,3,1,0,4,5.2,-0.8274968,0.6760969,-0.3064436,0.7154906,-0.2594768,0.9868889,-0.2642011,0.4803131,0,9,4,4,25,0,2.4,8.571428,0,3.742857,7,4,3,0,10.74286
4301010,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,9,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.124788,12.17949,13,3,0,0,0,32,0,0,10.97143,0,2.742857,4,3,0,7,9.742857,-0.8273921,0.6775741,-0.3163717,0.7208477,-0.2734455,0.987371,-0.2696333,0.485384,0,9,0,4,70,0,2.4,24,0,6.6,14,5,6,3,20.6
4301011,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-1.257558,13.46154,14,3,0,0,0,41,3,0,14.05714,7.2,5.314286,5,6,0,11,16.31429,-0.8273716,0.6769761,-0.3362747,0.6917083,-0.2996771,0.9588718,-0.2801868,0.4729867,0,9,20,10,66,4,6,22.62857,9.6,14.55714,14,7,4,3,28.55714
4301012,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,0,10,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.9850291,14.74359,15,3,0,0,5,29,0,3,9.942857,0,3.235714,3,3,2,8,11.23571,-0.8276275,0.6775906,-0.3202911,0.7181489,-0.2791182,0.9835234,-0.2715072,0.4850314,0,9,0,0,62,0,0,21.25714,0,5.314286,14,7,5,2,19.31429
4301013,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,7,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.8802102,16.02564,17,4,0,3,0,45,1,0,15.42857,2.4,5.207143,4,4,0,8,13.20714,-0.8279467,0.677195,-0.3259921,0.7111687,-0.2791182,0.9835234,-0.2797075,0.4740391,0,8,18,27,54,4,16.2,18.51429,9.6,15.57857,10,6,4,0,25.57857
4301014,430,BUNGOMA,1,KANDUYI,MUNICIPALITY,1,1,1,10,0,1,25.11506,0.6692453,-0.8192898,1,0,1,0,0,0,-0.8382826,17.30769,18,4,0,2,5,28,1,3,9.6,2.4,4.25,5,5,0,10,14.25,-0.8281082,0.6769394,-0.3292602,0.7058406,-0.2921833,0.9694507,-0.2755823,0.4813206,0,9,0,2,39,1,1.2,13.37143,2.4,4.242857,17,7,6,4,21.24286
